"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","PowerDb","NoisevalueDb"
1,"Spectrogram 1",1,1344.41,1344.642349352,0,8000,17.14,"1_Phaser1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",46.5273207784546,64.5621823619427
2,"Spectrogram 1",1,1347.451664249,1349.479440415,0,8000,18.55,"1_Upsweep1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",39.2752438635187,64.5621823619427
3,"Spectrogram 1",1,1351.443848576,1353.585320689,0,8000,17.96,"1_Downsweep1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",39.4398450223651,64.5621823619427
4,"Spectrogram 1",1,1356.471043659,1358.541065159,0,8000,18.09,"1_Upsweep2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",41.8429395216479,64.5621823619427
5,"Spectrogram 1",1,1360.423874169,1362.536141009,0,8000,17.35,"1_Downsweep2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",39.4026008657982,64.5621823619427
6,"Spectrogram 1",1,1365.429946579,1367.521090749,0,8000,18.69,"1_Upsweep3","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",40.5552111878718,64.5621823619427
7,"Spectrogram 1",1,1369.464376239,1371.576643079,0,8000,18.47,"1_Downsweep3","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",39.8424432771804,64.5621823619427
8,"Spectrogram 1",1,1373.467121899,1373.720593919,0,8000,17.78,"1_Phaser2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",35.946725506058,64.5621823619427
9,"Spectrogram 1",1,1382.796218779,1387.284901599,580,1080.8,12.92,"1_Hfunstart","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",35.5354215721994,34.04653478916
10,"Spectrogram 1",1,1398.192931729,1399.728338949,143.4,470.1,11.93,"1_Pmor_start","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",26.3987159741378,38.3549212308895
11,"Spectrogram 1",1,1400.753701289,1401.784317089,159.3,709.1,12.46,"1_Pmor_P1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",31.6560072824353,39.0676988085307
12,"Spectrogram 1",1,1387.329519279,1394.126279029,580,1526.5,11.34,"1_Hfuntrill","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",25.7052370739617,35.9903061583567
13,"Spectrogram 1",1,1403.028806709,1403.802179809,326.7,756.9,12.14,"1_Pmor_P2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",33.5722647924467,35.6706945868842
14,"Spectrogram 1",1,1405.155582729,1406.137171669,294.8,669.3,11.73,"1_Pmor_P3","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",33.1553807198234,35.7570031558141
15,"Spectrogram 1",1,1407.683917869,1408.501908649,318.7,693.2,12.15,"1_Pmor_P4","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",31.3940154614372,35.3777973447985
16,"Spectrogram 1",1,1410.199821669,1411.002939889,278.9,605.5,12.09,"1_Pmor_P5","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",26.649841319443,35.6792219084816
17,"Spectrogram 1",1,1412.995862879,1413.858471339,294.8,701.1,12.27,"1_Pmor_P6","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",33.7836136609416,35.9620625797174
18,"Spectrogram 1",1,1415.799773909,1416.915215879,255,669.3,11.66,"1_Pmor_P7","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",31.8561916723167,36.6538640334921
19,"Spectrogram 1",1,1418.863521189,1420.187178999,159.3,390.4,11.51,"1_Pmor_P8","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",24.4038223629524,37.0854851946719
20,"Spectrogram 1",1,1422.415782179,1423.754312549,127.5,398.4,11.86,"1_Pmor_P9","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",28.3370034406452,38.338835184269
21,"Spectrogram 1",1,1425.932002369,1427.478748569,127.5,398.4,11.55,"1_Pmor_P10","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",23.7966891212421,38.338835184269
22,"Spectrogram 1",1,1449.743321659,1456.936599259,589.6,1381.6,11.12,"1_Halbstart","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",24.123183237665,35.3606243214149
23,"Spectrogram 1",1,1457.104863059,1461.774183659,748.9,1593.5,11.49,"1_Halbpeak","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",26.2800042101454,34.6708072261922
24,"Spectrogram 1",1,1462.161441759,1465.169157259,358.5,900.3,11.03,"1_Halbend","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",23.5057425442118,35.9855783474057
25,"Spectrogram 1",1,1467.88408468,1468.72540368,661.334,980.034,10.79,"1_PwurP_P1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",27.9672418047115,31.8989622548973
26,"Spectrogram 1",1,1469.826343418,1470.604563518,605.247,1043.447,13.49,"1_PwurP_P2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",34.9241287375687,33.4478408838838
27,"Spectrogram 1",1,1471.73426508,1472.38628738,609.87,1024.17,13.67,"1_PwurP_P3","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",35.2440367186398,33.2250169941188
28,"Spectrogram 1",1,1473.439585914,1474.238839014,786.238,1096.938,10.98,"1_PwurP_P4","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",18.6176116899517,30.9716470872081
29,"Spectrogram 1",1,1475.461035257,1476.302354357,736.526,1007.426,12.36,"1_PwurP_P5","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",28.82907284876,30.6880541466034
30,"Spectrogram 1",1,1479.327389459,1480.210774359,23.9,255,11.86,"1_PwurS_S1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",31.3654474654194,43.8437654561282
31,"Spectrogram 1",1,1481.872379459,1482.650599559,47.8,247,11.88,"1_PwurS_S2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",32.576456559566,41.3040898571661
32,"Spectrogram 1",1,1484.207039759,1485.195589559,39.8,239,11.53,"1_PwurS_S3","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",33.1917183966473,42.1690691309421
33,"Spectrogram 1",1,1486.752029759,1487.740579659,31.9,247,13.16,"1_PwurS_S4","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",35.3375407391876,42.9127925475021
34,"Spectrogram 1",1,1489.209673559,1490.114091559,31.9,207.2,11.2,"1_PwurS_S5","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",29.5371713630522,42.6374272407235
35,"Spectrogram 1",1,1493.879,1494.111349352,0,8000,18.58,"2_Phaser1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",NA,64.5621823619427
36,"Spectrogram 1",1,1496.920664249,1498.948440415,0,8000,19.23,"2_Upsweep1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",42.2696199946125,64.5621823619427
37,"Spectrogram 1",1,1500.912848576,1503.054320689,0,8000,19.06,"2_Downsweep1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",42.1320188107958,64.5621823619427
38,"Spectrogram 1",1,1505.940043659,1508.010065159,0,8000,19.25,"2_Upsweep2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",43.1342158348168,64.5621823619427
39,"Spectrogram 1",1,1509.892874169,1512.005141009,0,8000,18.3,"2_Downsweep2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",40.1701316771758,64.5621823619427
40,"Spectrogram 1",1,1514.898946579,1516.990090749,0,8000,18.77,"2_Upsweep3","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",41.2589298929195,64.5621823619427
41,"Spectrogram 1",1,1518.933376239,1521.045643079,0,8000,18.29,"2_Downsweep3","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",39.7022932926122,64.5621823619427
42,"Spectrogram 1",1,1522.936121899,1523.189593919,0,8000,18.66,"2_Phaser2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",44.4837584428211,64.5621823619427
43,"Spectrogram 1",1,1532.265218779,1536.753901599,580,1080.8,12.79,"2_Hfunstart","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",37.2851894107669,34.04653478916
44,"Spectrogram 1",1,1547.661931729,1549.197338949,143.4,470.1,11.81,"2_Pmor_start","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",27.7957857073481,38.3549212308895
45,"Spectrogram 1",1,1550.222701289,1551.253317089,159.3,709.1,11.83,"2_Pmor_P1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",29.4780957262896,39.0676988085307
46,"Spectrogram 1",1,1536.798519279,1543.595279029,580,1526.5,11.28,"2_Hfuntrill","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",26.7342018276303,35.9903061583567
47,"Spectrogram 1",1,1552.497806709,1553.271179809,326.7,756.9,11.45,"2_Pmor_P2","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",34.1488223157788,35.6706945868842
48,"Spectrogram 1",1,1554.624582729,1555.606171669,294.8,669.3,11.9,"2_Pmor_P3","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",31.4302102825747,35.7570031558141
49,"Spectrogram 1",1,1557.152917869,1557.970908649,318.7,693.2,11.77,"2_Pmor_P4","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",30.7425004887627,35.3777973447985
50,"Spectrogram 1",1,1559.668821669,1560.471939889,278.9,605.5,10.68,"2_Pmor_P5","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",28.9870263907626,35.6792219084816
51,"Spectrogram 1",1,1562.464862879,1563.327471339,294.8,701.1,12,"2_Pmor_P6","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",33.6189010767579,35.9620625797174
52,"Spectrogram 1",1,1565.268773909,1566.384215879,255,669.3,11.07,"2_Pmor_P7","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",28.0329126081064,36.6538640334921
53,"Spectrogram 1",1,1568.332521189,1569.656178999,159.3,390.4,11.02,"2_Pmor_P8","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",26.2677832824511,37.0854851946719
54,"Spectrogram 1",1,1571.884782179,1573.223312549,127.5,398.4,11.44,"2_Pmor_P9","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",29.2570301018128,38.338835184269
55,"Spectrogram 1",1,1575.401002369,1576.947748569,127.5,398.4,11.13,"2_Pmor_P10","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",24.6156090235171,38.338835184269
56,"Spectrogram 1",1,1599.212321659,1606.405599259,589.6,1381.6,11.09,"2_Halbstart","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",23.3617982534168,35.3606243214149
57,"Spectrogram 1",1,1606.573863059,1611.243183659,748.9,1593.5,11.12,"2_Halbpeak","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",25.4278907338233,34.6708072261922
58,"Spectrogram 1",1,1611.630441759,1614.638157259,358.5,900.3,10.83,"2_Halbend","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",23.5853635564985,35.9855783474057
59,"Spectrogram 1",1,1617.35308468,1618.19440368,661.334,980.034,10.74,"2_PwurP_P1","111","111_S01143_20190812_130005-2",250,"2 (S4A07369)","20190812","1300",28.9159287699036,31.8989622548973
